numac,codeinsee,ville,lumiere,intersection,atmospherique,collision,route,tues,hospitalises,leger,indemnes,gravite,latitude,longitude
427647,93007,Le Blanc-Mesnil,1,2,1,3,4,0,3,1,1,32.83,48.943756,2.458962
427648,93031,Epinay-sur-Seine,1,1,1,6,9,0,3,1,2,32.83,48.953059,2.315416
427649,93005,Aulnay-sous-Bois,1,2,8,3,4,0,3,1,0,32.83,48.9283,2.51303
427650,93072,Stains,1,1,1,1,4,0,3,1,0,32.83,48.9587,2.39783
427651,93027,La Courneuve,1,2,1,3,2,0,3,1,0,32.83,48.9232,2.41316
427652,93048,Montreuil,5,2,2,3,4,0,3,1,0,32.83,48.86256,2.43136
427653,93014,Clichy-sous-Bois,3,1,1,4,4,0,3,1,0,32.83,48.9144,2.55108
427654,93071,Sevran,5,2,1,3,4,0,3,1,0,32.83,48.900728,2.504061
427655,93053,Noisy-le-Sec,5,3,2,5,3,0,3,1,0,32.83,48.8954,2.44345
427656,93008,Bobigny,1,1,1,2,1,0,3,1,1,32.83,48.909807,2.44587
427657,94080,Vincennes,5,2,1,1,3,0,3,1,0,32.83,48.8487,2.43073
427658,94069,Saint-Maurice,3,1,1,2,1,0,3,1,1,32.83,48.8172,2.42644
427659,95527,Roissy-en-France,5,1,1,6,9,0,3,1,0,32.83,49.004659,2.576294
427660,95527,Roissy-en-France,5,2,2,3,9,0,3,1,0,32.83,48.79938,2.63455
427661,95257,La Frette-sur-Seine,5,1,2,6,4,0,3,1,0,32.83,48.98045,2.17296
427662,95430,Montsoult,2,1,8,1,2,0,3,1,2,32.83,49.069,2.33
427663,95355,Magny-en-Vexin,1,1,2,1,3,0,3,1,0,32.83,49.1794,1.8103
427839,75111,Paris,5,2,2,6,4,0,3,2,0,33.26,48.85239,2.38182
427842,77018,Bailly-Romainvilliers,1,1,2,1,3,0,3,2,0,33.26,48.84918,2.83396
427843,77436,Saint-Simeon,5,1,2,5,3,0,3,2,4,33.26,48.8,3.202
427844,77279,Marolles-sur-Seine,1,1,1,1,1,0,3,2,1,33.26,48.382,3.023
427845,78220,Les Essarts-le-Roi,1,1,1,7,3,0,3,2,0,33.26,48.707799,1.917046
427846,78674,Villepreux,1,1,1,5,3,0,3,2,0,33.26,48.820877,2.011135
427847,78564,Saint-Martin-de-Brethencourt,3,1,5,3,1,0,3,2,0,33.26,48.533,1.906
427863,91687,Viry-Chatillon,1,2,1,5,2,0,3,2,0,33.26,48.68354,2.37643
427864,91339,Linas,5,1,2,1,2,0,3,2,0,33.26,48.6357,2.26645
427865,93053,Noisy-le-Sec,5,3,1,3,3,0,3,2,1,33.26,48.888456,2.456667
427866,95582,Sannois,5,1,3,5,1,0,3,2,2,33.26,48.97018,2.249798
427867,95445,Nerville-la-Foret,1,1,1,7,2,0,3,2,0,33.26,49.103,2.282
427868,95170,Condecourt,3,1,2,1,3,0,3,2,0,33.26,49.042,1.948
427869,95212,Epiais-les-Louvres,1,1,2,1,4,0,3,2,1,33.26,49.0288,2.5598
427926,77066,Cerneux,1,1,1,7,2,0,3,3,0,33.69,48.696,3.355
427927,77191,Fontenailles,3,1,1,5,3,0,3,3,0,33.69,48.56,2.95
427928,77186,Fontainebleau,1,2,1,3,3,0,3,3,1,33.69,48.46081,2.63921
